user,updated_at,label,file,pr_title,pr_number
addaleax,2020-04-11T21:43:49Z,blocked,deps/v8/src/api/api.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,deps/v8/src/snapshot/deserializer.h,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,deps/v8/src/snapshot/serializer-common.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,deps/v8/src/snapshot/startup-serializer.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,lib/buffer.js,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,lib/crypto.js,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,lib/internal/bootstrap/node.js,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,lib/internal/bootstrap/pre_execution.js,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,lib/tls.js,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,node.gyp,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/README.md,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/aliased_buffer.h,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/api/environment.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/async_wrap.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/base_object-inl.h,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/base_object.h,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/env-inl.h,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/env.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/env.h,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/inspector_js_api.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/module_wrap.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/node.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/node_buffer.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/node_config.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/node_constants.cc,src: include Environment in snapshot,32761
addaleax,2020-04-11T21:43:49Z,blocked,src/node_credentials.cc,src: include Environment in snapshot,32761
