user,updated_at,created_at,closed_at,issue_title,issue_number
zjffun,2020-04-04T07:31:24Z,2020-04-03T17:12:17Z,,doc: Should `runMain()` and `globalPaths` of module add in doc?,32643
rickyes,2020-04-07T06:33:22Z,2020-04-03T12:32:31Z,,fs: Use constant kWriteFileMaxChunkSize,32640
dericop,2020-04-05T16:12:17Z,2020-04-03T02:56:39Z,,test: test-async-wrap-constructor refactor-for-to-foreach,32631
richardlau,2020-04-03T14:08:46Z,2020-04-03T01:42:10Z,2020-04-010T17:08:46Z,test: run test-abort-aliased-buffer-overflow,32626
addaleax,2020-04-03T16:59:43Z,2020-04-02T20:27:12Z,,Nominating @juanarbol as a collaborator,32621
marcofranssen,2020-04-09T14:44:56Z,2020-04-02T08:17:36Z,,"export * from 'dependency' not working when { ""type"": ""module"" }",32613
lingsamuel,2020-04-08T02:47:24Z,2020-04-02T06:22:55Z,,esm: resolve main from package.json when importing from directory,32612
jasnell,2020-04-07T14:39:10Z,2020-04-02T00:13:27Z,,workers: implement --max-worker-threads command line option,32606
coreyfarrell,2020-04-01T23:21:01Z,2020-04-01T22:03:46Z,,Incorrect backtrace location for argument spread of non-iterable value,32604
sam-github,2020-04-03T10:21:46Z,2020-04-01T18:27:03Z,,[v10.x] Openssl 1.1.1f,32601
bnoordhuis,2020-04-01T13:16:35Z,2020-04-01T13:16:24Z,,tls: out of memory on large write,32598
HarshithaKP,2020-04-11T11:44:16Z,2020-04-01T07:17:20Z,,test: skip test-worker-prof in debug builds,32596
haqer1,2020-04-04T09:57:26Z,2020-04-01T04:28:35Z,,doc: make README(.md) more informative by indicating that a GPG key u…,32591
yashLadha,2020-04-01T21:19:34Z,2020-03-31T15:32:13Z,,lib: use map for worker mapping in cluster,32584
richard-townsend-arm,2020-04-06T23:43:18Z,2020-03-31T12:24:01Z,,Adding cross-compilation support for Windows on Arm,32582
el5846,2020-04-12T04:57:22Z,2020-04-12T01:14:29Z,,doc: updated directory entry information,32791
juanarbol,2020-04-12T00:53:30Z,2020-04-12T00:09:36Z,,lib: expose performance interface to global,32790
cjihrig,2020-04-11T22:03:05Z,2020-04-11T20:09:46Z,,http: return this from IncomingMessage#destroy(),32789
cjihrig,2020-04-11T22:08:47Z,2020-04-11T19:20:30Z,,doc: add transform stream destroy() return value,32788
addaleax,2020-04-12T02:22:54Z,2020-04-11T18:54:04Z,,build: add configure flag to build V8 with DCHECKs,32787
rickyes,2020-04-12T03:21:43Z,2020-04-11T18:12:52Z,,tls: connect supports highWaterMark option,32786
lirantal,2020-04-11T14:20:44Z,2020-04-11T14:03:12Z,,doc: improve WHATWG url constructor code example,32782
thunderol,2020-04-11T12:16:47Z,2020-04-11T11:31:19Z,,highWaterMark option is ignored in HTTPs request stream,32781
ronag,2020-04-12T00:21:08Z,2020-04-11T11:21:46Z,,stream: fix _final and 'prefinish' timing,32780
